year,index,metric,order,timeseries,...6
2003,-0.465136532,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2004,-1.140545484,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2005,-0.557884801,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2006,-0.953126808,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2007,0.107183234,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2008,-0.733514086,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2009,0.073836135,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2010,-0.971754416,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2011,0.677671323,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2012,0.512201947,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2013,NA,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2014,NA,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2015,0.862288889,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2016,-0.207430864,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2017,0.462039,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2018,-0.039634327,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2019,0.484342166,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2020,NA,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2021,NA,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2022,0.633478269,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2023,0.733792265,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2024,0.336961153,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2025,0.185232938,Density anomaly,1,"Cassins auklet (No CC, Summer)",NA
2003,0.064915377,Density anomaly,2,"Common murre (No CC, Summer)",NA
2004,-0.207750765,Density anomaly,2,"Common murre (No CC, Summer)",NA
2005,0.152900936,Density anomaly,2,"Common murre (No CC, Summer)",NA
2006,-0.149088638,Density anomaly,2,"Common murre (No CC, Summer)",NA
2007,0.136141138,Density anomaly,2,"Common murre (No CC, Summer)",NA
2008,0.52378964,Density anomaly,2,"Common murre (No CC, Summer)",NA
2009,-0.413800259,Density anomaly,2,"Common murre (No CC, Summer)",NA
2010,0.353392951,Density anomaly,2,"Common murre (No CC, Summer)",NA
2011,0.082602663,Density anomaly,2,"Common murre (No CC, Summer)",NA
2012,-0.082486097,Density anomaly,2,"Common murre (No CC, Summer)",NA
2013,NA,Density anomaly,2,"Common murre (No CC, Summer)",NA
2014,NA,Density anomaly,2,"Common murre (No CC, Summer)",NA
2015,0.0886778,Density anomaly,2,"Common murre (No CC, Summer)",NA
2016,-0.05904961,Density anomaly,2,"Common murre (No CC, Summer)",NA
2017,-0.202415603,Density anomaly,2,"Common murre (No CC, Summer)",NA
2018,0.13571013,Density anomaly,2,"Common murre (No CC, Summer)",NA
2019,0.129626031,Density anomaly,2,"Common murre (No CC, Summer)",NA
2020,NA,Density anomaly,2,"Common murre (No CC, Summer)",NA
2021,NA,Density anomaly,2,"Common murre (No CC, Summer)",NA
2022,-0.041560889,Density anomaly,2,"Common murre (No CC, Summer)",NA
2023,-0.079927411,Density anomaly,2,"Common murre (No CC, Summer)",NA
2024,-0.228962172,Density anomaly,2,"Common murre (No CC, Summer)",NA
2025,-0.202715221,Density anomaly,2,"Common murre (No CC, Summer)",NA
2003,0.381045419,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2004,0.121927236,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2005,-0.053326857,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2006,0.127938165,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2007,0.285926563,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2008,-0.254246932,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2009,0.103058396,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2010,0.157944057,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2011,-0.384636963,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2012,-0.229041047,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2013,NA,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2014,NA,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2015,0.469683896,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2016,0.351814965,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2017,-0.175935944,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2018,0.336053157,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2019,0.264154316,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2020,NA,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2021,NA,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2022,-0.421811349,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2023,-0.434386438,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2024,-0.101084466,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
2025,-0.545076175,Density anomaly,3,"Sooty shearwater (No CC, Summer)",NA
